@logo      Multiple-Run
Bfac        2.000e-001
  creator    GPT
  @logo      B&M-General Particle Tracer
  numderivs           0
  cputime     7.800e-002
  time        5.000e-009
              x           y           z           G          Bx          By          Bz          ID 
     5.596e-004  4.434e-003  8.266e-001  1.196e+000 -1.466e-003  7.484e-004  5.486e-001  3.436e+003 
     4.117e-003 -7.944e-004  8.263e-001  1.196e+000  1.206e-003  1.352e-003  5.485e-001  3.447e+003 
    -1.788e-003  7.569e-003  8.235e-001  1.196e+000 -2.960e-003 -3.424e-004  5.482e-001  3.458e+003 
    -2.841e-004 -6.012e-003  8.166e-001  1.195e+000  3.200e-003 -1.240e-003  5.478e-001  3.469e+003 
     7.884e-003 -1.217e-003  8.238e-001  1.196e+000  5.945e-004  3.187e-003  5.482e-001  3.535e+003 
    -7.171e-003  2.510e-003  8.299e-001  1.196e+000 -6.023e-004 -1.245e-003  5.486e-001  3.546e+003 
     6.835e-005 -6.485e-003  8.297e-001  1.196e+000  1.354e-003 -5.705e-004  5.486e-001  3.557e+003 
     3.493e-003  6.076e-003  8.269e-001  1.196e+000 -1.311e-003  1.227e-003  5.486e-001  3.568e+003 
     4.473e-003 -1.301e-003  8.234e-001  1.196e+000  1.244e-003  1.177e-003  5.483e-001  3.579e+003 
    -5.977e-003  2.831e-003  8.151e-001  1.195e+000 -2.849e-003 -2.804e-003  5.478e-001  3.590e+003 
     6.164e-003  4.132e-003  8.238e-001  1.196e+000 -1.340e-003  2.658e-003  5.482e-001  3.656e+003 
     4.676e-003 -4.504e-003  8.270e-001  1.196e+000  1.688e-003  9.358e-004  5.486e-001  3.667e+003 
    -7.842e-003 -1.664e-003  8.302e-001  1.196e+000  2.141e-004 -2.121e-003  5.487e-001  3.678e+003 
    -2.987e-003 -3.432e-003  8.258e-001  1.196e+000  4.196e-004 -2.043e-003  5.485e-001  3.689e+003 
     7.411e-004  4.851e-003  8.231e-001  1.196e+000 -1.865e-003  1.497e-003  5.483e-001  3.700e+003 
     6.099e-003  1.418e-003  8.153e-001  1.195e+000  1.719e-005  3.582e-003  5.477e-001  3.711e+003 
    -6.688e-003 -1.036e-003  8.202e-001  1.195e+000 -1.670e-004 -2.615e-003  5.479e-001  3.766e+003 
    -7.162e-003 -4.129e-003  8.237e-001  1.196e+000  1.085e-003 -2.633e-003  5.482e-001  3.777e+003 
     1.569e-003  8.274e-003  8.272e-001  1.196e+000 -2.810e-003  5.802e-004  5.486e-001  3.788e+003 
     6.537e-003  5.039e-004  8.294e-001  1.196e+000  7.446e-004  9.928e-004  5.486e-001  3.799e+003 
    -4.524e-003  3.530e-003  8.260e-001  1.196e+000 -1.183e-003 -3.430e-004  5.485e-001  3.810e+003 
     2.963e-003 -6.882e-003  8.209e-001  1.196e+000  2.456e-003  6.092e-004  5.482e-001  3.821e+003 
     3.971e-003  7.315e-003  8.154e-001  1.195e+000 -3.609e-003  2.504e-003  5.477e-001  3.832e+003 
     9.664e-003  1.799e-003  8.212e-001  1.196e+000 -1.167e-003  3.382e-003  5.482e-001  3.887e+003 
    -7.331e-003  4.418e-003  8.238e-001  1.196e+000 -1.816e-003 -2.494e-003  5.482e-001  3.898e+003 
    -4.322e-003 -5.317e-003  8.269e-001  1.196e+000  1.822e-003 -1.984e-003  5.486e-001  3.909e+003 
     7.372e-003  2.952e-003  8.272e-001  1.196e+000 -8.378e-004  2.620e-003  5.486e-001  3.920e+003 
     7.152e-003 -4.392e-003  8.269e-001  1.196e+000  1.572e-003  1.979e-003  5.486e-001  3.931e+003 
    -9.193e-003  9.040e-004  8.206e-001  1.196e+000 -1.638e-004 -3.282e-003  5.482e-001  3.942e+003 
    -4.561e-003 -3.604e-003  8.149e-001  1.195e+000  1.358e-003 -2.866e-003  5.477e-001  3.953e+003 
     5.294e-003 -4.037e-003  8.206e-001  1.196e+000  1.787e-003  1.008e-003  5.482e-001  4.019e+003 
    -5.639e-003 -4.244e-003  8.235e-001  1.196e+000  6.719e-004 -1.640e-003  5.483e-001  4.030e+003 
    -6.182e-003 -6.597e-003  8.273e-001  1.196e+000  1.910e-003 -1.824e-003  5.486e-001  4.041e+003 
     2.407e-003  6.758e-003  8.271e-001  1.196e+000 -2.014e-003  1.236e-003  5.486e-001  4.052e+003 
     5.640e-003  4.064e-003  8.264e-001  1.196e+000 -6.606e-004  1.794e-003  5.486e-001  4.063e+003 
    -7.557e-003  6.394e-003  8.213e-001  1.196e+000 -2.382e-003 -3.252e-003  5.482e-001  4.074e+003 
     7.957e-004 -8.023e-003  8.150e-001  1.195e+000  3.442e-003  1.225e-004  5.477e-001  4.085e+003 
    -1.454e-003  6.272e-003  8.205e-001  1.196e+000 -2.112e-003  6.724e-004  5.482e-001  4.140e+003 
     8.735e-003 -1.597e-003  8.236e-001  1.196e+000  7.566e-004  3.187e-003  5.482e-001  4.151e+003 
    -3.993e-003  6.184e-003  8.267e-001  1.196e+000 -2.126e-003 -6.513e-004  5.486e-001  4.162e+003 
